text/h323 .323
video/x-ivf .IVF
application/octet-stream .aaf
application/octet-stream .aca
application/msaccess .accdb
application/msaccess .accde
application/msaccess .accdt
application/internet-property-stream .acx
application/octet-stream .afm
application/postscript .ai
audio/x-aiff .aif
audio/aiff .aifc
audio/aiff .aiff
application/x-ms-application .application
image/x-jg .art
application/octet-stream .asd
video/x-ms-asf .asf
application/octet-stream .asi
text/plain .asm
video/x-ms-asf .asr
video/x-ms-asf .asx
application/atom+xml .atom
audio/basic .au
video/x-msvideo .avi
application/olescript .axs
text/plain .bas
application/x-bcpio .bcpio
application/octet-stream .bin
image/bmp .bmp
text/plain .c
application/octet-stream .cab
application/vnd.ms-office.calx .calx
application/vnd.ms-pki.seccat .cat
application/x-cdf .cdf
application/octet-stream .chm
application/x-java-applet .class
application/x-msclip .clp
image/x-cmx .cmx
text/plain .cnf
image/cis-cod .cod
application/x-cpio .cpio
text/plain .cpp
application/x-mscardfile .crd
application/pkix-crl .crl
application/x-x509-ca-cert .crt
application/x-csh .csh
text/css .css
application/octet-stream .csv
application/octet-stream .cur
application/x-director .dcr
application/octet-stream .deploy
application/x-x509-ca-cert .der
image/bmp .dib
application/x-director .dir
text/xml .disco
application/x-msdownload .dll
text/xml .dll.config
text/dlm .dlm
application/msword .doc
application/vnd.ms-word.document.macroEnabled.12 .docm
application/vnd.openxmlformats-officedocument.wordprocessingml.document .docx
application/msword .dot
application/vnd.ms-word.template.macroEnabled.12 .dotm
application/vnd.openxmlformats-officedocument.wordprocessingml.template .dotx
application/octet-stream .dsp
text/xml .dtd
application/x-dvi .dvi
drawing/x-dwf .dwf
application/octet-stream .dwp
application/x-director .dxr
message/rfc822 .eml
application/octet-stream .emz
application/octet-stream .eot
application/postscript .eps
text/x-setext .etx
application/envoy .evy
application/octet-stream .exe
text/xml .exe.config
application/vnd.fdf .fdf
application/fractals .fif
application/octet-stream .fla
x-world/x-vrml .flr
flv-application/octet-stream .flv
image/gif .gif
application/x-gtar .gtar
application/x-gzip .gz
text/plain .h
application/x-hdf .hdf
text/x-hdml .hdml
application/x-oleobject .hhc
application/octet-stream .hhk
application/octet-stream .hhp
application/winhlp .hlp
application/mac-binhex40 .hqx
application/hta .hta
text/x-component .htc
text/html .htm
text/html .html
text/webviewhtml .htt
text/html .hxt
image/x-icon .ico
application/octet-stream .ics
image/ief .ief
application/x-iphone .iii
application/octet-stream .inf
application/x-internet-signup .ins
application/x-internet-signup .isp
application/java-archive .jar
application/octet-stream .java
application/liquidmotion .jck
application/liquidmotion .jcz
image/pjpeg .jfif
application/octet-stream .jpb
image/jpeg .jpe
image/jpeg .jpeg
image/jpeg .jpg
application/x-javascript .js
application/json .json
text/jscript .jsx
application/x-latex .latex
application/x-ms-reader .lit
application/octet-stream .lpk
video/x-la-asf .lsf
video/x-la-asf .lsx
application/octet-stream .lzh
application/x-msmediaview .m13
application/x-msmediaview .m14
video/mpeg .m1v
audio/x-mpegurl .m3u
application/x-troff-man .man
application/x-ms-manifest .manifest
text/plain .map
application/x-msaccess .mdb
application/octet-stream .mdp
application/x-troff-me .me
message/rfc822 .mht
message/rfc822 .mhtml
audio/mid .mid
audio/mid .midi
application/octet-stream .mix
application/x-smaf .mmf
text/xml .mno
application/x-msmoney .mny
video/quicktime .mov
video/x-sgi-movie .movie
video/mpeg .mp2
audio/mpeg .mp3
video/mpeg .mpa
video/mpeg .mpe
video/mpeg .mpeg
video/mpeg .mpg
application/vnd.ms-project .mpp
video/mpeg .mpv2
application/x-troff-ms .ms
application/octet-stream .msi
application/octet-stream .mso
application/x-msmediaview .mvb
application/x-miva-compiled .mvc
application/x-netcdf .nc
video/x-ms-asf .nsc
message/rfc822 .nws
application/octet-stream .ocx
application/oda .oda
text/x-ms-odc .odc
application/oleobject .ods
application/onenote .one
application/onenote .onea
application/onenote .onepkg
application/onenote .onetmp
application/onenote .onetoc
application/onenote .onetoc2
application/opensearchdescription+xml .osdx
font/otf .otf
application/pkcs10 .p10
application/x-pkcs12 .p12
application/x-pkcs7-certificates .p7b
application/pkcs7-mime .p7c
application/pkcs7-mime .p7m
application/x-pkcs7-certreqresp .p7r
application/pkcs7-signature .p7s
image/x-portable-bitmap .pbm
application/octet-stream .pcx
application/octet-stream .pcz
application/pdf .pdf
application/octet-stream .pfb
application/octet-stream .pfm
application/x-pkcs12 .pfx
image/x-portable-graymap .pgm
application/vnd.ms-pki.pko .pko
application/x-perfmon .pma
application/x-perfmon .pmc
application/x-perfmon .pml
application/x-perfmon .pmr
application/x-perfmon .pmw
image/png .png
image/x-portable-anymap .pnm
image/png .pnz
application/vnd.ms-powerpoint .pot
application/vnd.ms-powerpoint.template.macroEnabled.12 .potm
application/vnd.openxmlformats-officedocument.presentationml.template .potx
application/vnd.ms-powerpoint.addin.macroEnabled.12 .ppam
image/x-portable-pixmap .ppm
application/vnd.ms-powerpoint .pps
application/vnd.ms-powerpoint.slideshow.macroEnabled.12 .ppsm
application/vnd.openxmlformats-officedocument.presentationml.slideshow .ppsx
application/vnd.ms-powerpoint .ppt
application/vnd.ms-powerpoint.presentation.macroEnabled.12 .pptm
application/vnd.openxmlformats-officedocument.presentationml.presentation .pptx
application/pics-rules .prf
application/octet-stream .prm
application/octet-stream .prx
application/postscript .ps
application/octet-stream .psd
application/octet-stream .psm
application/octet-stream .psp
application/x-mspublisher .pub
video/quicktime .qt
application/x-quicktimeplayer .qtl
application/octet-stream .qxd
audio/x-pn-realaudio .ra
audio/x-pn-realaudio .ram
application/octet-stream .rar
image/x-cmu-raster .ras
image/vnd.rn-realflash .rf
image/x-rgb .rgb
application/vnd.rn-realmedia .rm
audio/mid .rmi
application/x-troff .roff
audio/x-pn-realaudio-plugin .rpm
application/rtf .rtf
text/richtext .rtx
application/x-msschedule .scd
text/scriptlet .sct
application/octet-stream .sea
application/set-payment-initiation .setpay
application/set-registration-initiation .setreg
text/sgml .sgml
application/x-sh .sh
application/x-shar .shar
application/x-stuffit .sit
application/vnd.ms-powerpoint.slide.macroEnabled.12 .sldm
application/vnd.openxmlformats-officedocument.presentationml.slide .sldx
audio/x-smd .smd
application/octet-stream .smi
audio/x-smd .smx
audio/x-smd .smz
audio/basic .snd
application/octet-stream .snp
application/x-pkcs7-certificates .spc
application/futuresplash .spl
application/x-wais-source .src
application/streamingmedia .ssm
application/vnd.ms-pki.certstore .sst
application/vnd.ms-pki.stl .stl
application/x-sv4cpio .sv4cpio
application/x-sv4crc .sv4crc
application/x-shockwave-flash .swf
application/x-troff .t
application/x-tar .tar
application/x-tcl .tcl
application/x-tex .tex
application/x-texinfo .texi
application/x-texinfo .texinfo
application/x-compressed .tgz
application/vnd.ms-officetheme .thmx
application/octet-stream .thn
image/tiff .tif
image/tiff .tiff
application/octet-stream .toc
application/x-troff .tr
application/x-msterminal .trm
text/tab-separated-values .tsv
application/octet-stream .ttf
text/plain .txt
application/octet-stream .u32
text/iuls .uls
application/x-ustar .ustar
text/vbscript .vbs
text/x-vcard .vcf
text/plain .vcs
application/vnd.ms-visio.viewer .vdx
text/xml .vml
application/vnd.visio .vsd
application/vnd.visio .vss
application/vnd.visio .vst
application/x-ms-vsto .vsto
application/vnd.visio .vsw
application/vnd.visio .vsx
application/vnd.visio .vtx
audio/wav .wav
audio/x-ms-wax .wax
image/vnd.wap.wbmp .wbmp
application/vnd.ms-works .wcm
application/vnd.ms-works .wdb
application/vnd.ms-works .wks
video/x-ms-wm .wm
audio/x-ms-wma .wma
application/x-ms-wmd .wmd
application/x-msmetafile .wmf
text/vnd.wap.wml .wml
application/vnd.wap.wmlc .wmlc
text/vnd.wap.wmlscript .wmls
application/vnd.wap.wmlscriptc .wmlsc
video/x-ms-wmp .wmp
video/x-ms-wmv .wmv
video/x-ms-wmx .wmx
application/x-ms-wmz .wmz
font/x-woff .woff
font/x-woff2 .woff2
application/vnd.ms-works .wps
application/x-mswrite .wri
x-world/x-vrml .wrl
x-world/x-vrml .wrz
text/xml .wsdl
video/x-ms-wvx .wvx
application/directx .x
x-world/x-vrml .xaf
application/xaml+xml .xaml
application/x-silverlight-app .xap
application/x-ms-xbap .xbap
image/x-xbitmap .xbm
text/plain .xdr
application/vnd.ms-excel .xla
application/vnd.ms-excel.addin.macroEnabled.12 .xlam
application/vnd.ms-excel .xlc
application/vnd.ms-excel .xlm
application/vnd.ms-excel .xls
application/vnd.ms-excel.sheet.binary.macroEnabled.12 .xlsb
application/vnd.ms-excel.sheet.macroEnabled.12 .xlsm
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet .xlsx
application/vnd.ms-excel .xlt
application/vnd.ms-excel.template.macroEnabled.12 .xltm
application/vnd.openxmlformats-officedocument.spreadsheetml.template .xltx
application/vnd.ms-excel .xlw
text/xml .xml
x-world/x-vrml .xof
image/x-xpixmap .xpm
application/vnd.ms-xpsdocument .xps
text/xml .xsd
text/xml .xsf
text/xml .xsl
text/xml .xslt
application/octet-stream .xsn
application/octet-stream .xtp
image/x-xwindowdump .xwd
application/x-compress .z
application/x-zip-compressed .zip
image/svg+xml .svg
